print_order,b_mm,H_web_mm,t_f_mm,est_mass_g,pred_mode,weight_g,strength_N,obs_mode
1,1.25,5.0,6.5,27.8,shear,28.1,641.1,LTB
2,7.0,5.0,6.5,33.6,bend,33.6,911.9,bend
3,1.25,16.0,1.0,8.2,LTB,8.3,226.2,flange_web_sep
4,7.0,16.0,1.0,26.9,bend,27.4,829.4,bend
5,3.8,9.9,4.0,24.2,bend,24.3,858.9,bend
6,7.0,10.5,3.8,30.3,bend,30.1,948.8,bend
7,4.1,16.0,1.0,17.4,bend,17.6,534.1,bend
8,4.1,5.0,6.5,30.7,bend,31.0,1008.5,bend
9,1.25,10.5,3.8,18.0,bend,17.8,701.0,flange_web_sep
10,5.55,6.7,5.6,30.6,bend,31.1,855.9,bend
11,5.35,11.2,3.4,26.1,bend,25.8,738.4,bend
12,2.5,14.0,2.0,15.3,bend,15.5,533.5,bend
13,3.9,13.0,2.5,20.5,bend,20.6,733.0,bend
14,1.9,8.2,4.9,23.2,bend,23.3,839.5,bend
15,2.85,6.0,6.0,27.9,bend,27.8,905.2,bend
16,5.9,14.7,1.7,24.4,bend,24.7,771.9,bend
17,4.4,7.8,5.1,27.8,bend,27.8,911.2,bend
18,1.3,12.8,2.6,14.0,bend,14.0,548.6,bend
19,6.7,7.1,5.4,31.9,bend,32.2,1024.2,bend
20,4.85,14.4,1.8,21.6,bend,21.7,724.1,bend
21,5.7,8.7,4.6,29.1,bend,29.1,981.9,bend
22,3.05,11.9,3.0,19.8,bend,20.1,765.0,bend
23,2.7,9.4,4.3,22.7,bend,22.6,833.7,bend
24,6.15,12.4,2.8,27.0,bend,26.7,865.1,bend
25,3.25,15.1,1.5,15.9,bend,16.2,588.8,bend
26,1.95,11.6,3.2,17.7,bend,17.8,697.1,bend
27,3.55,7.5,5.2,26.8,bend,26.8,937.4,bend
28,5.05,9.7,4.2,26.9,bend,26.6,915.5,bend
29,6.55,13.8,2.1,27.0,bend,26.8,847.5,bend
30,2.15,6.9,5.6,25.7,bend,25.5,865.2,flange_web_sep
31,4.6,13.1,2.4,22.3,bend,22.3,759.0,bend
32,4.75,5.5,6.2,30.8,bend,30.9,958.7,bend
33,3.7,11.1,3.4,22.4,bend,22.5,741.3,bend
34,6.4,10.3,3.8,29.1,bend,29.2,882.5,bend
35,1.75,15.8,1.1,10.1,LTB,10.0,314.4,LTB
36,6.55,5.3,6.4,33.0,bend,32.8,992.2,bend
37,5.95,6.3,5.8,31.5,bend,31.7,918.4,bend
38,3.05,9.0,4.5,23.9,bend,23.8,731.0,bend
39,4.0,13.5,2.2,20.2,bend,20.2,706.8,bend
40,1.5,5.0,6.5,28.0,shear,28.1,790.0,flange_web_sep
41,4.2,15.6,1.2,18.2,bend,17.8,582.6,bend
42,6.9,10.8,3.6,29.9,bend,29.8,933.2,bend
43,4.75,13.3,2.3,22.5,bend,22.7,711.6,bend
44,1.4,10.4,3.8,18.5,bend,18.7,654.6,flange_web_sep
