beam_id,time_s,displacement_mm,force_N
6,0.00,0.0000,0.0
6,0.10,0.0001,0.0
6,0.20,0.0006,0.0
6,0.30,0.0029,0.0
6,0.40,0.0060,0.0
6,0.50,0.0088,0.2
6,0.60,0.0118,0.4
6,0.70,0.0154,0.7
6,0.80,0.0188,1.0
6,0.90,0.0219,1.2
6,1.00,0.0251,1.5
6,1.10,0.0290,1.8
6,1.20,0.0328,2.0
6,1.30,0.0364,2.2
6,1.40,0.0396,2.4
6,1.50,0.0425,2.6
6,1.60,0.0457,2.8
6,1.70,0.0494,3.1
6,1.80,0.0532,3.3
6,1.90,0.0562,3.5
6,2.00,0.0589,3.7
6,2.10,0.0617,3.9
6,2.20,0.0650,4.1
6,2.30,0.0689,4.4
6,2.40,0.0725,4.7
6,2.50,0.0758,5.0
6,2.60,0.0795,5.3
6,2.70,0.0833,5.6
6,2.80,0.0868,5.9
6,2.90,0.0900,6.1
6,3.00,0.0929,6.4
6,3.10,0.0959,6.6
6,3.20,0.0994,7.0
6,3.30,0.1034,7.4
6,3.40,0.1071,7.7
6,3.50,0.1098,8.0
6,3.60,0.1124,8.2
6,3.70,0.1155,8.5
6,3.80,0.1191,8.9
6,3.90,0.1228,9.2
6,4.00,0.1260,9.5
6,4.10,0.1292,9.8
6,4.20,0.1329,10.2
6,4.30,0.1366,10.6
6,4.40,0.1399,10.9
6,4.50,0.1429,11.2
6,4.60,0.1459,11.5
6,4.70,0.1492,11.9
6,4.80,0.1530,12.3
6,4.90,0.1570,12.7
6,5.00,0.1603,13.1
6,5.10,0.1629,13.3
6,5.20,0.1655,13.6
6,5.30,0.1687,14.0
6,5.40,0.1725,14.4
6,5.50,0.1761,14.7
6,5.60,0.1791,15.0
6,5.70,0.1825,15.4
6,5.80,0.1861,15.8
6,5.90,0.1897,16.2
6,6.00,0.1930,16.6
6,6.10,0.1961,16.9
6,6.20,0.1993,17.2
6,6.30,0.2030,17.6
6,6.40,0.2071,18.1
6,6.50,0.2107,18.5
6,6.60,0.2134,18.7
6,6.70,0.2159,19.0
6,6.80,0.2187,19.3
6,6.90,0.2220,19.7
6,7.00,0.2257,20.1
6,7.10,0.2291,20.4
6,7.20,0.2323,20.7
6,7.30,0.2359,21.1
6,7.40,0.2396,21.5
6,7.50,0.2433,22.0
6,7.60,0.2466,22.4
6,7.70,0.2495,22.7
6,7.80,0.2526,23.1
6,7.90,0.2562,23.5
6,8.00,0.2601,24.1
6,8.10,0.2636,24.5
6,8.20,0.2662,24.8
6,8.30,0.2689,25.2
6,8.40,0.2720,25.6
6,8.50,0.2755,26.0
6,8.60,0.2792,26.5
6,8.70,0.2826,26.9
6,8.80,0.2860,27.4
6,8.90,0.2898,27.9
6,9.00,0.2933,28.4
6,9.10,0.2965,28.8
6,9.20,0.2996,29.2
6,9.30,0.3025,29.6
6,9.40,0.3057,30.0
6,9.50,0.3096,30.6
6,9.60,0.3138,31.2
6,9.70,0.3169,31.6
6,9.80,0.3194,31.9
6,9.90,0.3222,32.3
